Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
nassTest Suite,Chrome 125.0.0.0,,,14-06-2024 14:57:06,14-06-2024 14:59:38,2m - 31.242s,FAILED
,,,,,,,
Test Cases/college testcase,Chrome 125.0.0.0,,,14-06-2024 14:57:56,14-06-2024 14:58:08,12.056s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:57:56,14-06-2024 14:57:58,1.485s,PASSED
"navigateToUrl(""https://naascollege.com/"")",Chrome 125.0.0.0,,,14-06-2024 14:57:58,14-06-2024 14:58:08,10.036s,PASSED
"click(findTestObject(""Object Repository/nass1/Page_NAGARATHINAM ANGALAMMAL ARTS AND SCIEN_5c9298/span_Academics""))",Chrome 125.0.0.0,,,14-06-2024 14:58:08,14-06-2024 14:58:08,0.511s,FAILED
,,,,,,,
Test Cases/college2 Test Case,Chrome 125.0.0.0,,,14-06-2024 14:58:42,14-06-2024 14:58:52,9.991s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:58:42,14-06-2024 14:58:43,1.725s,PASSED
"navigateToUrl(""https://naascollege.com/"")",Chrome 125.0.0.0,,,14-06-2024 14:58:43,14-06-2024 14:58:51,7.741s,PASSED
"doubleClick(findTestObject(""Object Repository/nass2/Page_NAGARATHINAM ANGALAMMAL ARTS AND SCIEN_5c9298/span_Academics""))",Chrome 125.0.0.0,,,14-06-2024 14:58:51,14-06-2024 14:58:52,0.502s,FAILED
,,,,,,,
Test Cases/college3 Test Case,Chrome 125.0.0.0,,,14-06-2024 14:59:27,14-06-2024 14:59:38,10.224s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:59:27,14-06-2024 14:59:29,1.656s,PASSED
"navigateToUrl(""https://naascollege.com/"")",Chrome 125.0.0.0,,,14-06-2024 14:59:29,14-06-2024 14:59:37,8.015s,PASSED
"click(findTestObject(""Object Repository/nass3/Page_ONLINE APPLICATION/a_Placement""))",Chrome 125.0.0.0,,,14-06-2024 14:59:37,14-06-2024 14:59:38,0.531s,FAILED
